run,n_rows,n_features,mean_f1,std_f1,mean_roc_auc,std_roc_auc,mean_pr_auc,std_pr_auc,mean_mae,std_mae,mean_rmse,std_rmse,mean_r2,std_r2
20260327_201008_peak_binary_xgb,200,27,0.4093506493506494,0.030583243697735105,0.7642524425206938,0.05285422509784849,0.5478263782001829,0.15969697911324218,,,,,,
20260327_201012_meaningful_upside_xgb,200,27,0.0,0.0,,,,,,,,,,
20260327_201017_future_upside_xgb,200,27,,,,,,,6.431157459608322,3.0449370516653778,9.150101375696803,4.448201694748609,-0.4615633332557197,0.22068449729099807
20260327_201021_future_drawdown_xgb,200,27,,,,,,,4.713268974281084,0.5179018009901919,5.948192839296969,0.8360496000952993,-0.8120163071818016,0.5527892286634373
